Confirmed.
Ley 7/1985 (LBRL) | De acuerdo con el artículo 89 de la Ley 7/1985, de 2 de abril, ¿qué clases de personal integran el personal al servicio de las entidades locales? | El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial. | El personal al servicio de las entidades locales estará integrado exclusivamente por funcionarios de carrera y funcionarios interinos de los Cuerpos Nacionales. | El personal al servicio de las entidades locales estará integrado por personal directivo estatutario, personal laboral temporal y altos comisionados locales. | El personal al servicio de las entidades locales estará integrado por funcionarios forales comunes, contratados administrativos de colaboración y personal eventual no retribuido. | A | El artículo 89 de la Ley 7/1985, de 2 de abril, determina de manera expresa: "El personal al servicio de las entidades locales estará integrado por funcionarios de carrera, contratados en régimen de derecho laboral y personal eventual que desempeña puestos de confianza o asesoramiento especial."
Ley 7/1985 (LBRL) | Con el objeto de garantizar la transparencia, según el artículo 104 bis.5 de la Ley 7/1985, de 2 de abril, ¿con qué frecuencia y dónde deben publicar las Corporaciones locales el número de puestos de trabajo reservados a personal eventual? | Semestralmente, en su sede electrónica y en el Boletín Oficial de la Provincia o, en su caso, de la Comunidad Autónoma uniprovincial. | Trimestralmente, mediante informe insertado en el Boletín Oficial del Estado. | Anualmente, coincidiendo con la publicación del resumen del Presupuesto definitivamente aprobado. | Semestralmente, de forma interactiva en las audioconferencias del Consejo de Empadronamiento. | A | El artículo 104 bis.5 de la Ley 7/1985, de 2 de abril, establece esta estricta obligación de publicidad semestral: "Las Corporaciones locales publicarán semestralmente en su sede electrónica y en el Boletín Oficial de la Provincia o, en su caso, de la Comunidad Autónoma uniprovincial el número de los puestos de trabajo reservados a personal eventual."
Ley 7/1985 (LBRL) | Conforme al artículo 104 bis.6 de la Ley 7/1985, de 2 de abril, ¿con qué carácter e instrumento debe informar el Presidente de la Entidad Local al Pleno del cumplimiento de los límites sobre personal eventual? | Con carácter trimestral. | Con carácter mensual en la parte dedicada al control de los plenos ordinarios. | Con carácter anual al someter la liquidación del Presupuesto general único. | Con carácter semestral a través del portal de internet corporativo digitalizado. | A | El artículo 104 bis.6 de la Ley 7/1985, de 2 de abril, mandata al control plenario regular de estos puestos: "El Presidente de la Entidad Local informará al Pleno con carácter trimestral del cumplimiento de lo previsto en este artículo."
Ley 7/1985 (LBRL) | A tenor del artículo 130.4 de la Ley 7/1985, de 2 de abril, y la disposición adicional decimoquinta, ¿a qué régimen quedan sometidos los órganos superiores, directivos locales y el personal de alta dirección del sector público local? | Quedan sometidos al régimen de incompatibilidades establecido en la Ley 53/1984, de 26 de diciembre, de Incompatibilidades del personal al servicio de las Administraciones públicas, y en otras normas estatales o autonómicas aplicables. | Quedan exentos de las incompatibilidades administrativas comunes, rigiéndose por el derecho laboral y mercantil privado. | Quedan sometidos exclusivamente a las directrices de abstención fijadas por el Reglamento Orgánico de cada Ayuntamiento. | Quedan sujetos de forma preferente al régimen sustantivo de la Ley de Contratos del Sector Público común del Estado. | A | El artículo 130.4 de la Ley 7/1985, de 2 de abril, dota de plena sujeción normativa a estos puestos determinando: "Los órganos superiores y directivos quedan sometidos al régimen de incompatibilidades establecido en la Ley 53/1984, de 26 de diciembre, de Incompatibilidades del personal al servicio de las Administraciones públicas, y en otras normas estatales o autonómicas que resulten de aplicación." Lo mismo reitera la Disp. Adicional 15.1.
Ley 7/1985 (LBRL) | Según prevé la disposición adicional decimoquinta.2 de la Ley 7/1985, de 2 de abril, ¿a qué personal al servicio de las Entidades locales es de aplicación el régimen de declaraciones de actividades y bienes previsto en el artículo 75.7? | Al personal directivo local y a los funcionarios de las Corporaciones Locales con habilitación de carácter estatal que desempeñen puestos provistos mediante libre designación en atención al carácter directivo de sus funciones o especial responsabilidad. | Exclusivamente a los funcionarios de carrera pertenecientes a la subescala de Secretaría-intervención de poblaciones menores. | Únicamente al personal eventual de confianza que perciba retribuciones asimiladas al tramo de un Secretario de Estado. | A todo el personal funcionario y laboral de la plantilla presupuestaria general, con independencia de sus funciones o de su nivel de destino. | A | La Disposición adicional decimoquinta.2 de la Ley 7/1985, de 2 de abril, extiende la obligación de transparencia de los cargos electos a los directivos: "El régimen previsto en el artículo 75.7 de esta Ley será de aplicación al personal directivo local y a los funcionarios de las Corporaciones Locales con habilitación de carácter estatal que... desempeñen en las Entidades locales puestos que hayan sido provistos mediante libre designación en atención al carácter directivo de sus funciones o a la especial responsabilidad que asuman."
Ley 7/1985 (LBRL) | De conformidad con el artículo 127.1.h) de la Ley 7/1985, de 2 de abril, ¿qué competencia corresponde a la Junta de Gobierno Local en los municipios de gran población respecto a las relaciones de puestos de trabajo, retribuciones y régimen del personal? | Aprobar la relación de puestos de trabajo, las retribuciones del personal de acuerdo con el presupuesto aprobado por el Pleno, la oferta de empleo público, las bases de las convocatorias de selección y provisión de puestos de trabajo, el número y régimen del personal eventual, la separación del servicio de los funcionarios y el despido del personal laboral. | Formular propuestas no vinculantes al Pleno para que este apruebe mediante mayoría absoluta las bases de selección comunes. | Autorizar de forma provisional los traslados forzosos de personal entre los distintos distritos de gestión desconcentrada. | Suspender preventivamente las funciones de control interventor interno o fe pública a propuesta exclusiva de la asesoría jurídica. | A | El artículo 127.1.h) de la Ley 7/1985, de 2 de abril, asigna este amplio catálogo ejecutivo a la Junta de grandes municipios: "Aprobar la relación de puestos de trabajo, las retribuciones del personal de acuerdo con el presupuesto aprobado por el Pleno, la oferta de empleo público, las bases de las convocatorias de selección y provisión de puestos de trabajo, el número y régimen del personal eventual, la separación del servicio de los funcionarios del Ayuntamiento, sin perjuicio de lo dispuesto en el artículo 99 de esta ley, el despido del personal laboral..."
Ley 7/1985 (LBRL) | Conforme al artículo 127.1.h) de la Ley 7/1985, de 2 de abril, ¿cómo debe ser la composición de los tribunales de oposiciones en los municipios de gran población y qué nivel de titulación deben poseer todos sus miembros? | Será predominantemente técnica, debiendo poseer todos sus miembros un nivel de titulación igual o superior al exigido para el ingreso en las plazas convocadas. | Será predominantemente representativa de los grupos políticos del Pleno, debiendo poseer titulación superior de doctorado. | Estará formada por personal directivo y asesores eventuales de la concejalía afectada sin requisitos obligatorios de titulación. | Será designada por sorteo entre los vecinos del municipio que gocen del derecho de sufragio activo y titulación académica básica. | A | El artículo 127.1.h) de la Ley 7/1985, de 2 de abril, en su párrafo segundo, garantiza la neutralidad técnica del tribunal disponiendo: "La composición de los tribunales de oposiciones será predominantemente técnica, debiendo poseer todos sus miembros un nivel de titulación igual o superior al exigido para el ingreso en las plazas convocadas. Su presidente podrá ser nombrado entre los miembros de la Corporación o entre el personal al servicio de las Administraciones públicas."
Ley 7/1985 (LBRL) | Con arreglo a la disposición adicional duodécima.1 de la Ley 7/1985, de 2 de abril, ¿cómo se clasifican exclusivamente las retribuciones a fijar en los contratos mercantiles o de alta dirección suscritos por el sector público local? | Se clasifican, exclusivamente, en básicas y complementarias. | Se clasifican en retribuciones fijas ordinarias, retribuciones forales y dietas de asistencia especial. | Se dividen en haberes reales básicos, complementos por el hecho insular y pluses estatutarios. | Se clasifican en sueldos por juro de heredad, indemnizaciones variables y retribuciones de confianza. | A | La Disposición adicional duodécima.1 de la Ley 7/1985, de 2 de abril, introducida para la regulación y ordenación de los contratos directivos del sector instrumental local, determina textualmente: "Las retribuciones a fijar en los contratos mercantiles o de alta dirección suscritos por los entes, consorcios, sociedades, organismos y fundaciones que conforman el sector público local se clasifican, exclusivamente, en básicas y complementarias."
Ley 7/1985 (LBRL) | Según prevé la disposición adicional duodécima.7 de la Ley 7/1985, de 2 de abril, ¿qué regla se impone ante la extinción de los contratos mercantiles o de alta dirección del sector público local en relación con la estructura de la Administración Local de la que dependan? | La extinción de los contratos mercantiles o de alta dirección no generará derecho alguno a integrarse en la estructura de la Administración Local de la que dependa la entidad del sector público en la que se prestaban tales servicios, fuera de los sistemas ordinarios de acceso. | La extinción generará un derecho de adscripción automática como funcionario interino de la escala de administración general. | La extinción obligará a la Corporación a incorporar al directivo cesado como personal laboral fijo en la plantilla presupuestaria. | Generará derecho al percibo de una compensación económica indefinida regulada por la Sección Provincial del Consejo de Empadronamiento. | A | La Disposición adicional duodécima.7 de la Ley 7/1985, de 2 de abril, blinda el acceso constitucional ordinario a la función pública estableciendo: "La extinción de los contratos mercantiles o de alta dirección no generará derecho alguno a integrarse en la estructura de la Administración Local de la que dependa la entidad del sector público en la que se prestaban tales servicios, fuera de los sistemas ordinarios de acceso."
Ley 7/1985 (LBRL) | A tenor del artículo 130.3 de la Ley 7/1985, de 2 de abril, ¿entre qué colectivo debe efectuarse, atendiendo a criterios de competencia profesional, el nombramiento de los coordinadores generales y de los directores generales en los municipios de gran población? | Entre funcionarios de carrera del Estado, de las Comunidades Autónomas, de las Entidades Locales o con habilitación de carácter nacional que pertenezcan a cuerpos o escalas clasificados en el subgrupo A1, salvo que el Reglamento Orgánico Municipal permita otra cosa. | Exclusivamente entre los concejales electos que formen parte de la Junta de Gobierno Local bajo la presidencia del Alcalde. | Entre personal laboral fijo de los organismos autónomos locales con experiencia superior a cinco años en el subgrupo A2. | Entre los miembros del órgano especializado para la resolución de las reclamaciones económico-administrativas de la provincia. | A | El artículo 130.3 de la Ley 7/1985, de 2 de abril, pauta las condiciones para la selección de la cúpula directiva municipal: "El nombramiento de los coordinadores generales y de los directores generales, atendiendo a criterios de competencia profesional y experiencia deberá efectuarse entre funcionarios de carrera del Estado, de las Comunidades Autónomas, de las Entidades Locales o con habilitación de carácter nacional que pertenezcan a cuerpos o escalas clasificados en el subgrupo A1, salvo que el Reglamento Orgánico Municipal permita que, en atención a las características específicas de las funciones de tales órganos directivos, su titular no reúna dicha condición de funcionario."
Ley 7/1985 (LBRL) | De conformidad con el artículo 134.2 de la Ley 7/1985, de 2 de abril, ¿qué condición se exige para el titular o titulares de los órganos de gestión económico-financiera y presupuestaria en los municipios de gran población? | Deberá ser un funcionario de Administración local con habilitación de carácter nacional, salvo el del órgano que desarrolle las funciones de presupuestación. | Deberá ser obligatoriamente el Interventor general municipal de forma exclusiva para todas las funciones integradas. | Será libremente nombrado entre profesionales del sector privado que tengan más de quince años de ejercicio profesional. | Deberá ser un funcionario de carrera clasificado en el subgrupo A1 que pertenezca a la asesoría jurídica del ayuntamiento. | A | El artículo 134.2 de la Ley 7/1985, de 2 de abril, estipula en lo relativo a la gestión presupuestaria y contable: "El titular o titulares de dicho órgano u órganos deberá ser un funcionario de Administración local con habilitación de carácter nacional, salvo el del órgano que desarrolle las funciones de presupuestación."
Ley 7/1985 (LBRL) | Conforme al artículo 136.3 de la Ley 7/1985, de 2 de abril, ¿entre qué colectivo de personal debe ser nombrado el titular de la Intervención general municipal responsable del control y fiscalización interna en grandes poblaciones? | Será nombrado entre funcionarios de Administración local con habilitación de carácter nacional. | Será nombrado entre los miembros del Consejo de Administración de las entidades públicas empresariales locales. | Será nombrado entre funcionarios de carrera del Cuerpo de Abogados del Estado o de la respectiva Comunidad Autónoma. | Será elegido libremente por el Pleno mediante voto nominal entre los componentes de la Comisión Especial de Cuentas. | A | El artículo 136.3 de la Ley 7/1985, de 2 de abril, determina la cualificación estatal preceptiva para este puesto clave de fiscalización: "Su titular [de la Intervención general municipal] será nombrado entre funcionarios de Administración local con habilitación de carácter nacional."
Ley 7/1985 (LBRL) | Según se detalla en la disposición adicional octava.a) de la Ley 7/1985, de 2 de abril, ¿por qué personal serán desempeñadas las funciones reservadas a los funcionarios con habilitación de carácter nacional en los municipios del Título X y Cabildos canarios? | Serán desempeñadas por funcionarios de las subescalas que correspondan, de acuerdo con lo dispuesto en su normativa reglamentaria. | Serán desempeñadas por el personal directivo laboral contratado bajo la modalidad de los contratos de alta dirección mercantiles. | Serán ejercidas directamente por los coordinadores generales de área bajo la supervisión del titular de la asesoría jurídica. | Serán desempeñadas por funcionarios propios de la escala de administración general de la respectiva provincia. | A | La Disposición adicional octava de la Ley 7/1985, de 2 de abril, aclara respecto a estas funciones estatales especiales en las grandes organizaciones locales: "a) Las funciones reservadas en dicho título a los funcionarios de Administración local con habilitación de carácter nacional serán desempeñadas por funcionarios de las subescalas que correspondan, de acuerdo con lo dispuesto en su normativa reglamentaria."
Ley 7/1985 (LBRL) | Con arreglo a la disposición adicional octava.c) de la Ley 7/1985, de 2 de abril, ¿a qué órgano administrativo directivo corresponden las funciones que la legislación electoral general asigna ordinariamente a los secretarios de los ayuntamientos en municipios de gran población? | Serán ejercidas por el secretario del Pleno. | Serán ejercidas por el concejal-secretario de la Junta de Gobierno Local. | Corresponderán al titular del órgano de apoyo al secretario de la Junta. | Serán asumidas por el titular de la asesoría jurídica del ayuntamiento. | A | La Disposición adicional octava.c) establece de manera taxativa esta especialidad organizativa de las grandes poblaciones: "c) Las funciones que la legislación electoral general asigna a los secretarios de los ayuntamientos, así como la llevanza y custodia del registro de intereses de miembros de la Corporación, serán ejercidas por el secretario del Pleno."
Ley 7/1985 (LBRL) | Según prevé la disposición transitoria séptima.1 de la Ley 7/1985, de 2 de abril, ¿qué condición se reconoce a los miembros de los antiguos Cuerpos Nacionales de Secretarios, Interventores y Depositarios tras la entrada en vigor de la Ley? | Tendrán a todos los efectos la habilitación de carácter nacional regulada en esta Ley. | Quedarán integrados como personal eventual de empleo a extinguir en un plazo máximo de tres años. | Serán clasificados como personal laboral indefinido dependiente directamente de las Diputaciones Forales. | Pasarán a formar parte de la plantilla de los distritos urbanos como funcionarios de administración general. | A | La Disposición transitoria séptima.1 de la Ley 7/1985, de 2 de abril, salvaguarda la transición funcionarial determinando: "... Los actuales miembros de los Cuerpos Nacionales de Secretarios, Interventores y Depositarios tendrán a todos los efectos la habilitación de carácter nacional regulada en esta Ley."
Ley 7/1985 (LBRL) | Conforme a la disposición transitoria octava.1 de la Ley 7/1985, de 2 de abril, ¿qué prohibición absoluta se impone a las Administraciones locales respecto a las modalidades de vinculación temporal de personal tras la vigencia de la Ley? | No podrán celebrarse por las Administraciones locales contratos de colaboración temporal en régimen de Derecho administrativo, ni renovarse los existentes. | No podrán contratarse trabajadores en régimen de derecho laboral temporal para la prestación de los servicios mínimos obligatorios. | Queda prohibido el nombramiento de funcionarios de carrera que pertenezcan a los cuerpos clasificados en el subgrupo A1. | No podrán celebrarse contratos de alta dirección mercantiles que incluyan retribuciones variables por cumplimiento de objetivos. | A | La Disposición transitoria octava.1 de la Ley 7/1985, de 2 de abril, corta de raíz estas antiguas prácticas determinando de forma prohibitiva: "No podrán celebrarse por las Administraciones locales contratos de colaboración temporal en régimen de Derecho administrativo, ni renovarse los existentes."
Ley 7/1985 (LBRL) | A tenor del artículo 21.1.g) de la Ley 7/1985, de 2 de abril, ¿cuál de las siguientes materias relativas al personal de la Corporación constituye una atribución presidencial del Alcalde de régimen común? | Aprobar la oferta de empleo público de acuerdo con el Presupuesto y la plantilla aprobados por el Pleno, aprobar las bases de las pruebas para la selección del personal y para los concursos de provisión de puestos de trabajo y distribuir las retribuciones complementarias que no sean fijas y periódicas. | Aprobar definitivamente la plantilla presupuestaria de personal y fijar de manera unilateral la cuantía de las retribuciones complementarias fijas. | Determinar el número, características y retribuciones de los funcionarios de empleo interinos y del personal eventual al comienzo del mandato. | Resolver de forma motivada los conflictos de atribuciones que surjan entre los órganos de las mancomunidades integradas en la provincia. | A | El artículo 21.1.g) de la Ley 7/1985, de 2 de abril, otorga al Alcalde las siguientes facultades ejecutivas de personal: "Aprobar la oferta de empleo público de acuerdo con el Presupuesto y la plantilla aprobados por el Pleno, aprobar las bases de las pruebas para la selección del personal y para los concursos de provisión de puestos de trabajo y distribuir las retribuciones complementarias que no sean fijas y periódicas."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 21.1.h) de la Ley 7/1985, de 2 de abril, ¿qué competencia de carácter sancionador corresponde al Alcalde respecto a los funcionarios de la Corporación y ante qué órgano debe dar cuenta? | Acordar su nombramiento y sanciones, incluida la separación del servicio de los funcionarios de la Corporación y el despido del personal laboral, dando cuenta al Pleno en la primera sesión que celebre. | Imponer multas coercitivas acumulativas previo informe de legalidad de la Comisión Especial de Sugerencias y Reclamaciones. | Decretar la pérdida de la condición de funcionario por faltas graves sin posibilidad de recurso o revisión de oficio local. | Suspender provisionalmente de funciones a los habilitados nacionales dando cuenta inmediata al Ministerio de Administraciones Públicas. | A | El artículo 21.1.h) de la Ley 7/1985, de 2 de abril, prescribe literalmente: "Desempeñar la jefatura superior de todo el personal, y acordar su nombramiento y sanciones, incluida la separación del servicio de los funcionarios de la Corporación y el despido del personal laboral, dando cuenta al Pleno, en estos dos últimos casos, en la primera sesión que celebre..."
Ley 7/1985 (LBRL) | Según dispone la disposición final tercera de la Ley 7/1985, de 2 de abril, ¿qué tipo de marco estatutario regulará reglamentariamente al personal de las Policías Municipales y de los Cuerpos de Bomberos? | Gozarán de un Estatuto específico, aprobado reglamentariamente, teniendo en cuenta respecto de los primeros la Ley de Fuerzas y Cuerpos de Seguridad del Estado. | Se regirán por el ordenamiento común del Estatuto Básico del Empleado Público con exclusión de cualquier especialidad o reducción de jornada. | Quedarán sujetos a los convenios colectivos generales de la masa salarial del personal laboral del sector público local de la provincia. | Se regularán de manera directa por las normas de los Cuerpos Nacionales bajo la dependencia orgánica exclusiva del Delegado del Gobierno. | A | La Disposición final tercera de la Ley 7/1985, de 2 de abril, establece el mandato normativo para estos cuerpos especiales: "El personal de las Policías Municipales y de los Cuerpos de Bomberos gozarán de un Estatuto específico, aprobado reglamentariamente, teniendo en cuenta respecto de los primeros la Ley de Fuerzas y Cuerpos de Seguridad del Estado."
