Confirmed.
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 1.1 de la Ley 7/1985, de 2 de abril, Reguladora de las Bases del Régimen Local, ¿cómo se define a los Municipios dentro de la organización territorial del Estado? | Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades. | Los Municipios son corporaciones públicas secundarias delegadas por las Comunidades Autónomas para la gestión de servicios mínimos desconcentrados bajo tutela estatal. | Los Municipios son demarcaciones de carácter estrictamente administrativo, carentes de autonomía institucional y subordinadas a las directrices de la Provincia. | Los Municipios son Entidades Locales de adscripción potestativa cuya finalidad exclusiva es la ejecución forzosa de la normativa sectorial de las Islas. | A | El artículo 1.1 de la Ley 7/1985, de 2 de abril, dispone textualmente: "Los Municipios son entidades básicas de la organización territorial del Estado y cauces inmediatos de participación ciudadana en los asuntos públicos, que institucionalizan y gestionan con autonomía los intereses propios de las correspondientes colectividades."
Ley 7/1985 (LBRL) | Según el artículo 32 bis de la Ley 7/1985, de 2 de abril, ¿entre qué colectivos debe efectuarse el nombramiento del personal directivo en las Diputaciones, Cabildos y Consejos Insulares atendiendo a criterios de competencia profesional? | Entre funcionarios de carrera del Estado, de las Comunidades Autónomas, de las Entidades Locales o con habilitación de carácter nacional que pertenezcan a cuerpos o escalas clasificados en el subgrupo A1, salvo excepciones del Reglamento Orgánico. | Entre cualquier persona que posea titulación superior y acredite militancia o afiliación política activa de más de cinco años. | Exclusivamente entre los Concejales en activo que no tengan asignada una dedicación exclusiva en su municipio de origen. | Entre profesionales del sector privado que cuenten con un título escolar o académico básico expedido en la provincia. | A | El artículo 32 bis de la Ley 7/1985, de 2 de abril (incorporado por reformas de profesionalización), estipula: "El nombramiento del personal directivo que, en su caso, hubiera en las Diputaciones, Cabildos y Consejos Insulares deberá efectuarse de acuerdo a criterios de competencia profesional y experiencia, entre funcionarios de carrera del Estado, de las Comunidades Autónomas, de las Entidades Locales o con habilitación de carácter nacional que pertenezcan a cuerpos o escalas clasificados en el subgrupo A1..."
Ley 7/1985 (LBRL) | De acuerdo con lo previsto en el artículo 36.1.b) de la Ley 7/1985, de 2 de abril, ¿en qué municipios tiene la Diputación Provincial la competencia propia de garantizar en todo caso la prestación de los servicios de secretaría e intervención? | En los municipios de menos de 1.000 habitantes. | En los municipios con población inferior a 5.000 habitantes. | En todos los municipios de régimen común que carezcan de Junta de Gobierno Local. | Únicamente en los entes de ámbito territorial inferior al municipio (pedanías). | A | El artículo 36.1.b) de la Ley 7/1985, de 2 de abril, impone esta garantía obligatoria para la viabilidad jurídica local: "La asistencia y cooperación jurídica, económica y técnica a los Municipios, especialmente los de menor capacidad económica y de gestión. En todo caso garantizará en los municipios de menos de 1.000 habitantes la prestación de los servicios de secretaría e intervención."
Ley 7/1985 (LBRL) | Conforme al artículo 36.1.c) de la Ley 7/1985, de 2 de abril, ¿en qué municipios asumirá de forma particular la Diputación la prestación del servicio de prevención y extinción de incendios cuando estos no procedan a prestarlo? | En los municipios de menos de 20.000 habitantes. | En los municipios con población inferior a 5.000 habitantes. | En todos los municipios de la provincia con presupuesto inferior a tres mil millones de pesetas. | En los municipios de menos de 50.000 habitantes que no cuenten con cuerpo de Policía Local. | A | El artículo 36.1.c) de la Ley 7/1985, de 2 de abril, especifica los umbrales de asunción obligatoria por inactividad local: "... En particular, asumirá la prestación de los servicios de tratamiento de residuos en los municipios de menos de 5.000 habitantes, y de prevención y extinción de incendios en los de menos de 20.000 habitantes, cuando éstos no procedan a su prestación."
 Ley 7/1985 (LBRL) | Según el artículo 40 de la Ley 7/1985, de 2 de abril, ¿qué regla competencial rige para las Comunidades Autónomas uniprovinciales y la Foral de Navarra respecto a las competencias de las Diputaciones? | Asumen las competencias, medios y recursos que corresponden en el régimen ordinario a las Diputaciones Provinciales, exceptuándose la Comunidad Autónoma de las Islas Baleares en los términos de su Estatuto propio. | Conservan las estructuras de las Diputaciones de forma totalmente separada e independiente del Consejo de Gobierno autonómico. | Pierden las competencias provinciales, las cuales son revertidas de forma inmediata y exclusiva al Ministerio de Administraciones Públicas. | Delegarán de forma obligatoria todas las competencias de asistencia técnica en las Mancomunidades y Áreas Metropolitanas. | A | El artículo 40 de la Ley 7/1985, de 2 de abril, integra la planta provincial en las comunidades uniprovinciales: "Las Comunidades Autónomas uniprovinciales y la Foral de Navarra asumen las competencias, medios y recursos que corresponden en el régimen ordinario a las Diputaciones Provinciales. Se exceptúa la Comunidad Autónoma de las Islas Baleares en los términos de su Estatuto propio."
Ley 7/1985 (LBRL) | A tenor del artículo 44.1 de la Ley 7/1985, de 2 de abril, ¿qué derecho se reconoce a los municipios respecto a las mancomunidades y cuál es su objeto? | Se reconoce a los municipios el derecho a asociarse con otros en mancomunidades para la ejecución en común de obras y servicios determinados de su competencia. | Se reconoce el derecho a fundar mancomunidades de carácter político para sustituir las funciones representativas del Pleno. | Se reconoce el derecho a constituir mancomunidades exclusivas para la recaudación forzosa de tributos estatales cedidos. | Se reconoce el derecho a asociarse en mancomunidades dotadas de potestad legislativa plena dentro de la comarca. | A | El artículo 44.1 de la Ley 7/1985, de 2 de abril, consagra el asociacionismo municipal prestacional: "Se reconoce a los municipios el derecho a asociarse con otros en mancomunidades para la ejecución en común de obras y servicios determinados de su competencia."
Ley 7/1985 (LBRL) | De conformidad con el artículo 46.2.a) de la Ley 7/1985, de 2 de abril, ¿con qué periodicidad mínima debe celebrar sesión ordinaria el Pleno de los Ayuntamientos en municipios de más de 20.000 habitantes y en las Diputaciones Provinciales? | Como mínimo cada mes. | Cada dos meses de forma improrrogable. | Trimestralmente, coincidiendo con los periodos ordinarios de la Ley de Haciendas Locales. | Semestralmente, previa convocatoria efectuada por edicto público del Presidente. | A | El artículo 46.2.a) de la Ley 7/1985, de 2 de abril, establece los plazos mínimos de periodicidad de las sesiones plenarias ordinarias: "El Pleno celebra sesión ordinaria como mínimo cada mes en los Ayuntamientos de municipios de más de 20.000 habitantes y en las Diputaciones Provinciales..."
Ley 7/1985 (LBRL) | Conforme al artículo 46.2.c) de la Ley 7/1985, de 2 de abril, ¿qué quórum de asistencia se requiere para que el Pleno de una Corporación Local se constituya válidamente y en qué momento de la sesión debe mantenerse? | Se constituye válidamente con la asistencia de un tercio del mínimo legal de miembros del mismo, que nunca podrá ser inferior a tres, y este quórum deberá mantenerse durante toda la sesión. | Se requiere la presencia de la mayoría absoluta de los concejales electos al inicio de la sesión, no importando las ausencias sobrevenidas durante las votaciones. | Se constituye con la mitad más uno de los miembros de la Junta de Gobierno Local, manteniéndose el quórum únicamente en los debates resolutivos. | Requiere la asistencia unánime de todos los grupos municipales con representación parlamentaria provincial durante la primera hora. | A | El artículo 46.2.c) de la Ley 7/1985, de 2 de abril, regula rigurosamente el quórum de constitución y su permanencia: "El Pleno se constituye válidamente con la asistencia de un tercio del mínimo legal de miembros del mismo, que nunca podrá ser inferior a tres... Estos quórums deberán mantenerse durante toda la sesión. En todo caso, se requiere la asistencia del Presidente y del Secretario de la Corporación o de quienes legalmente les sustituyan."
Ley 7/1985 (LBRL) | Según establece el artículo 47.1 de la Ley 7/1985, de 2 de abril, ¿cuál es la regla general para la adopción de acuerdos en las corporaciones locales y cuándo se entiende que concurre? | Los acuerdos se adoptan, como regla general, por mayoría simple de los miembros presentes, existiendo mayoría simple cuando los votos afirmativos son más que los negativos. | Los acuerdos se adoptan por mayoría absoluta de los concejales electos, existiendo esta cuando votan a favor la mitad más uno del número legal. | Se adoptan por unanimidad de los portavoces de los grupos políticos que hubieran votado a favor de la constitución del Pleno. | Los acuerdos se adoptan por mayoría de dos tercios de los votos emitidos, excluyéndose las abstenciones voluntarias y los votos en blanco. | A | El artículo 47.1 de la Ley 7/1985, de 2 de abril, fija la regla general y su definición: "Los acuerdos de las corporaciones locales se adoptan, como regla general, por mayoría simple de los miembros presentes. Existe mayoría simple cuando los votos afirmativos son más que los negativos."
Ley 7/1985 (LBRL) | A tenor del artículo 47.2 de la Ley 7/1985, de 2 de abril, ¿cuál de las siguientes materias requiere de forma obligatoria el voto favorable de la mayoría absoluta del número legal de miembros de la corporación? | Aprobación y modificación del reglamento orgánico propio de la corporación, alteración del nombre y de la capitalidad del municipio y la adopción o modificación de su bandera, enseña o escudo. | El otorgamiento de licencias urbanísticas ordinarias de desarrollo de planeamiento menor y la aprobación de las bases de selección de personal interino. | La enajenación de bienes muebles patrimoniales cuando su cuantía no exceda del 5 por ciento de los recursos ordinarios corrientes. | La fijación de las jornadas y horarios de apertura al público de las bibliotecas municipales y archivos de distrito. | A | El artículo 47.2 de la Ley 7/1985, de 2 de abril, recoge las materias tasadas que exigen mayoría absoluta cualificada: "... d) Alteración del nombre y de la capitalidad del municipio. e) Adopción o modificación de su bandera, enseña o escudo. f) Aprobación y modificación del reglamento orgánico propio de la corporación..."
Ley 7/1985 (LBRL) | Según regula el artículo 49 de la Ley 7/1985, de 2 de abril, ¿cuál es el plazo mínimo establecido para la información pública y audiencia a los interesados durante el procedimiento de aprobación de las Ordenanzas locales? | Un plazo mínimo de treinta días para la presentación de reclamaciones y sugerencias. | Un plazo de quince días hábiles improrrogables a contar desde la aprobación inicial. | Veinte días naturales libres de publicación en el tablón de anuncios de la Secretaría. | Un plazo de dos meses certificado por el Instituto Nacional de Estadística. | A | El artículo 49.b) de la Ley 7/1985, de 2 de abril, detalla la fase de participación ciudadana en la potestad reglamentaria local: "La aprobación de las Ordenanzas locales se ajustará al siguiente procedimiento: ... b) Información pública y audiencia a los interesados por el plazo mínimo de treinta días para la presentación de reclamaciones y sugerencias."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 52.2.a) de la Ley 7/1985, de 2 de abril, ¿qué resoluciones y actos de las autoridades locales ponen fin a la vía administrativa de manera general? | Las del Pleno, los Alcaldes o Presidentes y las Juntas de Gobierno, salvo excepciones legales de aprobación ulterior sectorial o recursos específicos del artículo 27.2. | Exclusivamente las dictadas por el Pleno municipal mediante votación por llamada nominal. | Las resoluciones adoptadas en vía de gestión tributaria por el Interventor general tras el informe de fiscalización previa. | Únicamente las resoluciones de la Comisión Especial de Sugerencias y Reclamaciones que cuenten con el visto bueno del Alcalde. | A | El artículo 52.2 de la Ley 7/1985, de 2 de abril, determina los órganos cuyas resoluciones agotan la vía administrativa ordinaria: "Ponen fin a la vía administrativa las resoluciones de los siguientes órganos y autoridades: a) Las del Pleno, los Alcaldes o Presidentes y las Juntas de Gobierno, salvo en los casos excepcionales..."
Ley 7/1985 (LBRL) | Conforme al artículo 60 de la Ley 7/1985, de 2 de abril, ¿qué plazo mínimo de recordatorio debe conceder el Estado o la Comunidad Autónoma ante el incumplimiento local de obligaciones impuestas por Ley antes de proceder a la ejecución sustitutoria a costa de la entidad local? | Un plazo que fuere necesario, que nunca será inferior a un mes. | Un plazo improrrogable de diez días hábiles desde la recepción del requerimiento ordinario. | Quince días naturales contados a partir del siguiente al de la firma del decreto. | Un periodo fijo de dos meses controlado por el Delegado del Gobierno en la provincia. | A | El artículo 60 de la Ley 7/1985, de 2 de abril, regula el control frente a la inactividad obligatoria local: "... deberá recordarle su cumplimiento concediendo al efecto el plazo que fuere necesario. Si, transcurrido dicho plazo, nunca inferior a un mes, el incumplimiento persistiera, se procederá a adoptar las medidas necesarias para el cumplimiento de la obligación a costa y en sustitución de la entidad local."
Ley 7/1985 (LBRL) | Según prevé el artículo 61.1 de la Ley 7/1985, de 2 de abril, ¿qué órgano tiene la competencia para decretar la disolución de los órganos de las corporaciones locales en el supuesto de gestión gravemente dañosa y qué requisito parlamentario previo se exige? | El Consejo de Ministros, mediante real decreto, previo acuerdo favorable del Senado. | El Rey, mediante Real Decreto Ley, previa autorización del Pleno del Congreso de los Diputados. | El Ministro de Administraciones Públicas, oída la Comisión Nacional de Administración Local de forma vinculante. | El Tribunal Supremo, tras el planteamiento de un conflicto de competencias por la Comunidad Autónoma. | A | El artículo 61.1 de la Ley 7/1985, de 2 de abril, contempla este mecanismo excepcional de control estatal: "El Consejo de Ministros, a iniciativa propia y con conocimiento del Consejo de Gobierno de la comunidad autónoma correspondiente o a solicitud de éste y, en todo caso, previo acuerdo favorable del Senado, podrá proceder, mediante real decreto, a la disolución de los órganos de las corporaciones locales..."
Ley 7/1985 (LBRL) | Con el fin de controlar la legalidad, según el artículo 65 de la Ley 7/1985, de 2 de abril, ¿de qué plazo dispone la Administración del Estado o de las Comunidades Autónomas para formular un requerimiento de anulación motivado ante un acto local que infrinja el ordenamiento jurídico? | Se formulará en el plazo de quince días hábiles a partir de la recepción de la comunicación del acuerdo. | Deberá formularse en el plazo máximo de tres días naturales desde la adopción del acta plenaria. | Un mes natural contado a partir del día siguiente al de la publicación definitiva de la ordenanza. | Dispondrá de un plazo fijo de cinco días hábiles certificado por el Secretario general de la corporación. | A | El artículo 65.2 de la Ley 7/1985, de 2 de abril, acota temporalmente la potestad de requerimiento previo: "El requerimiento deberá ser motivado y expresar la normativa que se estime vulnerada. Se formulará en el plazo de quince días hábiles a partir de la recepción de la comunicación del acuerdo."
Ley 7/1985 (LBRL) | A tenor del artículo 67.1 de la Ley 7/1985, de 2 de abril, ¿en qué supuesto puede el Delegado del Gobierno decretar de forma directa la suspensión de un acto o acuerdo local y qué trámite previo brevísimo debe efectuar? | Si una Entidad local adoptara actos o acuerdos que atenten gravemente al interés general de España, previo requerimiento para su anulación al Presidente de la Corporación efectuado dentro de los diez días siguientes al de la recepción de aquéllos. | Si el Ayuntamiento incurriera en un déficit financiero superior al 20 por ciento de sus ingresos corrientes, previo informe de la Comisión de Cuentas. | Si se detectaran fraudes electorales graves en la constitución de las mesas de distrito, previa orden judicial del Tribunal Supremo. | En supuestos de huelgas de personal de recogida de residuos, previo dictamen de la Comisión Nacional de Administración Local. | A | El artículo 67.1 de la Ley 7/1985, de 2 de abril, regula una potestad extraordinaria del Delegado del Gobierno: "Si una Entidad local adoptara actos o acuerdos que atenten gravemente al interés general de España, el Delegado del Gobierno, previo requerimiento para su anulación al Presidente de la Corporación efectuado dentro de los diez días siguientes al de la recepción de aquéllos, podrá suspenderlos y adoptar las medidas pertinentes para la protección de dicho interés."
Ley 7/1985 (LBRL) | De conformidad con lo dispuesto en el artículo 70.1 de la Ley 7/1985, de 2 de abril, ¿cuál es el carácter ordinario de las sesiones del Pleno de las corporaciones locales y qué regla rige de forma expresa para las sesiones de la Junta de Gobierno Local? | Las sesiones del Pleno son públicas (salvo excepciones que afecten al artículo 18.1 CE aprobadas por mayoría absoluta) y no son públicas las sesiones de la Junta de Gobierno Local. | Las sesiones del Pleno son enteramente secretas y las de la Junta de Gobierno Local son siempre públicas y televisadas por internet. | Tanto las sesiones del Pleno como las de la Junta de Gobierno Local son estrictamente públicas y de libre acceso ciudadano. | Las sesiones del Pleno son públicas previa solicitud razonada por escrito con cinco días de antelación y las de la Junta son potestativas. | A | El artículo 70.1 de la Ley 7/1985, de 2 de abril, establece nítidamente la publicidad de los debates corporativos: "Las sesiones del Pleno de las corporaciones locales son públicas. No obstante, podrán ser secretos el debate y votación de aquellos asuntos que puedan afectar al derecho fundamental de los ciudadanos a que se refiere el artículo 18.1 de la Constitución, cuando así se acuerde por mayoría absoluta. No son públicas las sesiones de la Junta de Gobierno Local."
Ley 7/1985 (LBRL) | Conforme al artículo 70 bis.2 de la Ley 7/1985, de 2 de abril, ¿qué porcentaje mínimo de firmas suscritas de vecinos se exige para ejercer la iniciativa popular en municipios de hasta 5.000 habitantes? | El 20 por ciento. | El 5 por ciento. | El 10 por ciento. | El 15 por ciento. | A | El artículo 70 bis.2 de la Ley 7/1985, de 2 de abril, modula los requisitos de la iniciativa popular local en función de la población: "Dichas iniciativas deberán ir suscritas al menos por el siguiente porcentaje de vecinos del municipio: a) Hasta 5.000 habitantes, el 20 por ciento. b) De 5.001 a 20.000 habitantes, el 15 por ciento. c) A partir de 20.001 habitantes, el 10 por ciento."
Ley 7/1985 (LBRL) | Según el artículo 71 de la Ley 7/1985, de 2 de abril, ¿cuáles son los tres requisitos acumulativos obligatorios para que un Alcalde pueda someter un asunto de competencia propia municipal a consulta popular local? | Previo acuerdo por mayoría absoluta del Pleno, autorización del Gobierno de la Nación y que no verse sobre materias relativas a la Hacienda local. | Informe de legalidad del Secretario, aprobación por mayoría simple del Pleno y visado del Presidente de la Comunidad Autónoma. | Petición motivada suscrita por el 50 por ciento de los vecinos, acuerdo unánime de los portavoces y dotación presupuestaria foral. | Autorización del Congreso de los Diputados, acuerdo del Consejo de Ministros y publicación oficial en el Boletín del Estado. | A | El artículo 71 de la Ley 7/1985, de 2 de abril, delimita rigurosamente el referéndum o consulta popular local: "De conformidad con la legislación del Estado y de la Comunidad Autónoma... los Alcaldes, previo acuerdo por mayoría absoluta del Pleno y autorización del Gobierno de la Nación, podrán someter a consulta popular aquellos asuntos de la competencia propia municipal y de carácter local que sean de especial relevancia para los intereses de los vecinos, con excepción de los relativos a la Hacienda local."
Ley 7/1985 (LBRL) | A tenor del artículo 75.7 de la Ley 7/1985, de 2 de abril, ¿cuándo deben formular de forma obligatoria los representantes locales y miembros no electos de la Junta de Gobierno Local su declaración de bienes patrimoniales y actividades? | Antes de la toma de posesión, con ocasión del cese y al final del mandato, así como cuando se modifiquen las circunstancias de hecho. | Únicamente al finalizar el periodo de mandato de cuatro años coincidiendo con las elecciones municipales ordinarias. | Semestralmente durante la primera semana de los meses de enero y julio de cada año natural de ejercicio de funciones. | Exclusivamente cuando lo solicite formalmente un tercio de los concejales que integren la Comisión de Sugerencias y Reclamaciones. | A | El artículo 75.7 de la Ley 7/1985, de 2 de abril, detalla los momentos temporales de la obligación de transparencia: "Tales declaraciones, efectuadas en los modelos aprobados por los plenos respectivos, se llevarán a cabo antes de la toma de posesión, con ocasión del cese y al final del mandato, así como cuando se modifiquen las circunstancias de hecho."
Ley 7/1985 (LBRL) | De conformidad con lo establecido en el artículo 75 ter.1.a) de la Ley 7/1985, de 2 de abril, ¿cuál es el límite máximo de miembros que pueden prestar servicios en régimen de dedicación exclusiva en los Ayuntamientos de Municipios con población inferior a 1.000 habitantes? | Ningún miembro podrá prestar sus servicios en régimen de dedicación exclusiva. | Solo se permitirá un miembro en régimen de dedicación exclusiva que deberá ser obligatoriamente el Alcalde. | Podrán tener hasta dos miembros, siempre que el presupuesto ordinario municipal no presente déficit estructural. | Queda fijado en un máximo de tres miembros elegidos por voto nominal por el Pleno de la Corporación. | A | El artículo 75 ter.1.a) de la Ley 7/1985, de 2 de abril, prohíbe de forma absoluta los sueldos por exclusividad en corporaciones muy pequeñas: "En los Ayuntamientos de Municipios con población inferior a 1000 habitantes, ningún miembro podrá prestar sus servicios en régimen de dedicación exclusiva."
Ley 7/1985 (LBRL) | Según regula el artículo 77 de la Ley 7/1985, de 2 de abril, ¿de qué plazo dispone el Alcalde o Presidente para resolver de forma motivada las solicitudes de información o datos formuladas por los miembros de las Corporaciones para el desarrollo de sus funciones? | En los cinco días naturales siguientes a aquél en que se hubiese presentado. | En el plazo máximo de veinte días hábiles desde la fecha del registro oficial de entrada. | De forma inmediata dentro de las cuarenta y ocho horas laborables siguientes a la recepción de la cédula. | Dispondrá de un plazo discrecional que no podrá demorarse más allá de la fecha de celebración del siguiente Pleno ordinario. | A | El artículo 77 de la Ley 7/1985, de 2 de abril, blinda el derecho a la información de los concejales fijando un plazo sumario: "Todos los miembros de las Corporaciones locales tienen derecho a obtener del Alcalde o Presidente... cuantos antecedentes, datos o informaciones obren en poder de los servicios... La solicitud de ejercicio del derecho recogido en el párrafo anterior habrá de ser resuelta motivadamente en los cinco días naturales siguientes a aquél en que se hubiese presentado."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 80.1 de la Ley 7/1985, de 2 de abril, ¿cuáles son las tres notas características comunes que blindan jurídicamente a los bienes comunales y a los demás bienes de dominio público local? | Son inalienables, inembargables e imprescriptibles y no están sujetos a tributo alguno. | Son transmisibles mediante pública subasta, gravables con hipotecas de garantía y sujetos al devengo del IBI estatal. | Son expropiables por causas de urbanismo comarcal, embargables por deudas tributarias de la provincia y prescriptibles al cabo de treinta años. | Son inalienables salvo acuerdo por unanimidad del Pleno, embargables en su tramo de bienes comunales y sujetos a tasas locales de pastos. | A | El artículo 80.1 de la Ley 7/1985, de 2 de abril, otorga la máxima protección del régimen demanial: "Los bienes comunales y demás bienes de dominio público son inalienables, inembargables e imprescriptibles y no están sujetos a tributo alguno."
Ley 7/1985 (LBRL) | Conforme al artículo 85.2 de la Ley 7/1985, de 2 de abril, ¿cuáles son las cuatro formas organizativas autorizadas e integradas dentro de la modalidad de Gestión Directa para la prestación de servicios públicos locales? | Gestión por la propia Entidad Local, Organismo autónomo local, Entidad pública empresarial local y Sociedad mercantil local cuyo capital social sea enteramente de titularidad pública. | Gestión por la propia Entidad Local, Consorcio comarcal voluntario, Fundación pública de asistencia social y Concesión administrativa indirecta. | Organismo autónomo local, Arrendamiento de instalaciones, Concierto prestacional preferente y Sociedad de economía mixta mayoritaria. | Gestión corporativa directa delegada, Distrito territorial desconcentrado, Mancomunidad obligatoria e Intervención directa de la Diputación. | A | El artículo 85.2.A) de la Ley 7/1985, de 2 de abril, delimita estrictamente el catálogo de la gestión directa: "A) Gestión directa: a) Gestión por la propia Entidad Local. b) Organismo autónomo local. c) Entidad pública empresarial local. d) Sociedad mercantil local, cuyo capital social sea de titularidad pública."
Ley 7/1985 (LBRL) | Según prescribe el artículo 86.2 de la Ley 7/1985, de 2 de abril, ¿cuáles son las tres actividades o servicios esenciales declarados reservados por Ley en favor de las Entidades Locales? | Abastecimiento domiciliario y depuración de aguas; recogida, tratamiento y aprovechamiento de residuos, y transporte público de viajeros. | Alumbrado público, policía local de proximidad y gestión integral de cementerios y actividades funerarias. | Planeamiento urbanístico general, inspección de establecimientos comerciales y mantenimiento de consultorios médicos rurales. | Matadero municipal, redes de telecomunicaciones interactiva digital y distribución mayorista en mercados centrales. | A | El artículo 86.2 de la Ley 7/1985, de 2 de abril, define las reservas esenciales mínimas de monopolio local: "Se declara la reserva en favor de las Entidades Locales de las siguientes actividades o servicios esenciales: abastecimiento domiciliario y depuración de aguas; recogida, tratamiento y aprovechamiento de residuos, y transporte público de viajeros, de conformidad con lo previsto en la legislación sectorial aplicable."
Ley 7/1985 (LBRL) | A tenor del artículo 92.3 de la Ley 7/1985, de 2 de abril, ¿a qué personal queda reservado en exclusiva el ejercicio de funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales? | A los funcionarios de carrera al servicio de la Administración local. | Al personal directivo nombrado entre profesionales del sector privado mediante contrato de alta dirección. | Al personal eventual que desempeñe puestos de estricta confianza o asesoramiento especial de la Alcaldía. | Al personal laboral fijo seleccionado a través de convocatorias públicas de concurso-oposición libre. | A | El artículo 92.3 de la Ley 7/1985, de 2 de abril, consagra la garantía de la función pública estatutaria: "Corresponde exclusivamente a los funcionarios de carrera al servicio de la Administración local el ejercicio de las funciones que impliquen la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales. Igualmente son funciones públicas, cuyo cumplimiento queda reservado a funcionarios de carrera, las que impliquen ejercicio de autoridad..."
Ley 7/1985 (LBRL) | De conformidad con el artículo 92 bis.1 de la Ley 7/1985, de 2 de abril, ¿cuáles son las dos funciones públicas necesarias en todas las Corporaciones locales reservadas a funcionarios con habilitación de carácter nacional? | La de Secretaría (comprensiva de la fe pública y el asesoramiento legal preceptivo) y el control y la fiscalización interna de la gestión económico-financiera y presupuestaria (y la contabilidad, tesorería y recaudación). | La dirección política ejecutiva de las concejalías de área y la jefatura superior del personal de la Policía Municipal. | La presidencia técnica de los tribunales de oposiciones y el mantenimiento y limpieza de los consultorios médicos. | La resolución definitiva de reclamaciones económico-administrativas y la ordenación de las licencias urbanísticas generales. | A | El artículo 92 bis.1 de la Ley 7/1985, de 2 de abril, define estas funciones estatales clave e indispensables en el mundo local: "Son funciones públicas necesarias en todas las Corporaciones locales, cuya responsabilidad administrativa está reservada a funcionarios de administración local con habilitación de carácter nacional: a) La de Secretaría, comprensiva de la fe pública y el asesoramiento legal preceptivo. b) El control y la fiscalización interna de la gestión económico-financiera y presupuestaria, y la contabilidad, tesorería y recaudación."
Ley 7/1985 (LBRL) | Conforme al artículo 112.4 de la Ley 7/1985, de 2 de abril, ¿cuál es la fecha límite obligatoria en la que el Pleno de la Corporación debe realizar la aprobación definitiva del presupuesto anual? | Habrá de realizarse antes del 31 de diciembre del año anterior al del ejercicio en que deba aplicarse. | Deberá realizarse antes del 1 de noviembre de cada año natural coincidiendo con el cálculo del coste efectivo de los servicios. | Queda fijada de forma improrrogable antes del 1 de junio de cada ejercicio económico presupuestario ordinario. | Se efectuará dentro de los tres meses siguientes a la recepción de la liquidación de las cuentas de las empresas dependientes. | A | El artículo 112.4 de la Ley 7/1985, de 2 de abril, marca el límite temporal de la potestad presupuestaria: "La aprobación definitiva del presupuesto por el Pleno de la Corporación habrá de realizarse antes del 31 de diciembre del año anterior al del ejercicio en que deba aplicarse."
Ley 7/1985 (LBRL) | Según establece el artículo 116 de la Ley 7/1985, de 2 de abril, ¿antes de qué fecha exacta deben someterse las cuentas anuales de la entidad local a informe de la Comisión Especial de Cuentas? | Antes del 1 de junio. | Antes del 1 de mayo. | Antes del 1 de noviembre. | Antes del 31 de diciembre. | A | El artículo 116 de la Ley 7/1985, de 2 de abril, pauta el calendario de rendición de cuentas fijando: "Las cuentas anuales se someterán antes del 1 de junio a informe de la Comisión Especial de Cuentas de la entidad local, la cual estará constituida por miembros de los distintos grupos políticos integrantes de la Corporación..."
Ley 7/1985 (LBRL) | De acuerdo con el artículo 121.1 de la Ley 7/1985, de 2 de abril, ¿cuál de los siguientes criterios demográficos automatiza la aplicación directa del régimen organizativo de los municipios de gran población del Título X? | Los municipios cuya población supere los 250.000 habitantes y los municipios capitales de provincia cuya población sea superior a los 175.000 habitantes. | Todos los municipios de España que superen de forma general los 50.000 habitantes con independencia de ser capitales. | Únicamente los municipios que superen el millón de habitantes, como es el caso de las ciudades de Madrid y Barcelona. | Los municipios con población superior a 20.000 habitantes que aprueben un convenio de fusión con municipios colindantes de la provincia. | A | El artículo 121.1 de la Ley 7/1985, de 2 de abril, define objetivamente el ámbito de aplicación en sus letras a) y b): "Las normas previstas en este título serán de aplicación: a) A los municipios cuya población supere los 250.000 habitantes. b) A los municipios capitales de provincia cuya población sea superior a los 175.000 habitantes."
Ley 7/1985 (LBRL) | Con arreglo al artículo 126.2 de la Ley 7/1985, de 2 de abril, y tras la Sentencia del Tribunal Constitucional 103/2013, ¿quiénes pueden ser válidamente nombrados miembros de la Junta de Gobierno Local en los municipios de gran población? | El Alcalde podrá nombrar y separar libremente a los miembros de la Junta de Gobierno Local únicamente de entre los concejales de la Corporación, sin que su número exceda de un tercio del número legal de miembros del Pleno. | El Alcalde podrá nombrar libremente hasta un 50 por ciento de directivos privados que no ostenten la condición de concejales. | La Junta se integrará de forma obligatoria por los funcionarios habilitados nacionales con voz y voto resolutivo pleno. | El Alcalde podrá nombrar como miembros de la Junta a los alcaldes pedáneos de los distritos periféricos exclusivamente. | A | El artículo 126.2 de la Ley 7/1985, de 2 de abril, vio anulada su posibilidad de incorporar miembros no electos (concejales "no electos") por la Sentencia del TC 103/2013, quedando restringido a concejales electos: "Corresponde al Alcalde nombrar y separar libremente a los miembros de la Junta de Gobierno Local, cuyo número no podrá exceder de un tercio del número legal de miembros del Pleno, además del Alcalde."
